Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 01, 2022",$7.05,$7.20,$6.58,$6.73,"$623,803,205","$6,646,336,024"
"Jun 30, 2022",$7.01,$7.04,$6.66,$7.04,"$553,377,124","$6,952,423,128"
"Jun 29, 2022",$7.31,$7.42,$6.98,$7.01,"$562,068,690","$6,922,057,751"
"Jun 28, 2022",$7.74,$7.98,$7.28,$7.31,"$454,633,640","$7,219,255,727"
"Jun 27, 2022",$7.84,$8.19,$7.74,$7.74,"$363,436,649","$7,647,921,300"
"Jun 26, 2022",$8.13,$8.46,$7.83,$7.84,"$386,725,611","$7,738,240,731"
"Jun 25, 2022",$8.20,$8.34,$7.82,$8.13,"$355,679,049","$8,032,704,478"
"Jun 24, 2022",$7.79,$8.31,$7.74,$8.21,"$478,986,341","$8,103,984,591"
"Jun 23, 2022",$7.41,$7.79,$7.39,$7.79,"$414,053,779","$7,690,370,964"
"Jun 22, 2022",$7.75,$7.80,$7.38,$7.41,"$396,873,053","$7,316,492,039"
"Jun 21, 2022",$7.88,$8.24,$7.71,$7.74,"$430,086,919","$7,646,037,006"
"Jun 20, 2022",$7.52,$8.01,$7.21,$7.89,"$495,307,749","$7,788,920,098"
"Jun 19, 2022",$7.06,$7.60,$6.79,$7.52,"$485,916,449","$7,423,345,515"
"Jun 18, 2022",$7.29,$7.40,$6.49,$7.06,"$573,388,413","$6,970,452,289"
"Jun 17, 2022",$7.10,$7.43,$7.06,$7.29,"$427,132,202","$7,203,719,714"
"Jun 16, 2022",$8.51,$8.53,$7.01,$7.10,"$656,027,695","$7,011,790,614"
"Jun 15, 2022",$7.37,$8.61,$6.86,$8.51,"$1,047,848,436","$8,404,575,635"
"Jun 14, 2022",$7.01,$7.52,$6.73,$7.37,"$825,671,035","$7,273,972,695"
"Jun 13, 2022",$7.44,$7.45,$6.43,$7.01,"$1,019,556,301","$6,923,126,949"
"Jun 12, 2022",$8.02,$8.10,$7.45,$7.45,"$540,721,211","$7,357,483,712"
"Jun 11, 2022",$8.65,$8.84,$7.96,$8.02,"$453,457,201","$7,916,610,626"
"Jun 10, 2022",$9.23,$9.35,$8.63,$8.65,"$463,759,922","$8,545,349,189"
"Jun 09, 2022",$9.00,$9.44,$8.93,$9.23,"$377,664,094","$9,117,423,825"
"Jun 08, 2022",$9.23,$9.37,$8.94,$9.00,"$341,420,388","$8,891,939,336"
"Jun 07, 2022",$9.49,$9.50,$8.91,$9.23,"$446,295,667","$9,113,537,058"
"Jun 06, 2022",$9.35,$9.92,$9.34,$9.49,"$413,763,076","$9,374,863,398"
"Jun 05, 2022",$9.43,$9.54,$9.28,$9.34,"$236,104,496","$9,228,925,961"
"Jun 04, 2022",$9.38,$9.53,$9.17,$9.43,"$281,076,248","$9,313,458,901"
"Jun 03, 2022",$9.90,$9.90,$9.24,$9.38,"$414,732,607","$9,260,462,404"
"Jun 02, 2022",$9.47,$10.02,$9.34,$9.90,"$506,177,410","$9,774,743,863"
"Jun 01, 2022",$10.37,$10.68,$9.34,$9.47,"$699,424,637","$9,353,744,327"
"May 31, 2022",$10.45,$10.62,$10.02,$10.37,"$666,603,022","$10,237,441,301"
"May 30, 2022",$9.98,$10.73,$9.93,$10.45,"$736,851,354","$10,325,039,438"
"May 29, 2022",$9.66,$9.99,$9.36,$9.98,"$575,259,942","$9,856,709,917"
"May 28, 2022",$9.28,$9.73,$9.02,$9.67,"$592,729,298","$9,546,220,231"
"May 27, 2022",$9.18,$9.91,$8.61,$9.13,"$1,254,089,101","$9,018,478,727"
"May 26, 2022",$9.87,$9.98,$8.91,$9.18,"$871,673,940","$9,066,990,855"
"May 25, 2022",$10.18,$10.31,$9.85,$9.87,"$575,708,120","$9,744,031,901"
"May 24, 2022",$9.89,$10.25,$9.62,$10.18,"$662,049,564","$10,054,722,308"
"May 23, 2022",$10.18,$10.70,$9.89,$9.89,"$865,694,286","$9,764,157,773"
"May 22, 2022",$9.99,$10.31,$9.90,$10.19,"$478,292,426","$10,059,589,554"
"May 21, 2022",$9.68,$10.05,$9.52,$9.99,"$423,592,840","$9,868,392,735"
"May 20, 2022",$10.04,$10.22,$9.47,$9.68,"$640,193,446","$9,564,457,273"
"May 19, 2022",$9.50,$10.32,$9.27,$10.04,"$853,915,374","$9,916,882,263"
"May 18, 2022",$11.04,$11.14,$9.51,$9.51,"$877,968,843","$9,388,596,955"
"May 17, 2022",$10.63,$11.29,$10.48,$11.03,"$763,521,915","$10,897,183,478"
"May 16, 2022",$11.79,$11.79,$10.44,$10.62,"$900,666,870","$10,492,669,466"
"May 15, 2022",$11.35,$11.82,$10.64,$11.80,"$972,329,755","$11,649,063,178"
"May 14, 2022",$10.49,$11.50,$9.83,$11.35,"$1,414,801,522","$11,209,697,889"
"May 13, 2022",$8.74,$11.73,$8.58,$10.49,"$1,860,790,600","$10,362,966,456"
"May 12, 2022",$8.97,$9.43,$7.32,$8.75,"$1,718,065,655","$8,636,690,005"
"May 11, 2022",$11.35,$11.61,$8.29,$8.96,"$2,370,958,313","$8,844,945,617"
"May 10, 2022",$10.77,$12.33,$10.45,$11.36,"$1,771,556,667","$11,217,411,956"
"May 09, 2022",$13.26,$13.46,$10.77,$10.77,"$1,529,550,074","$10,633,301,984"
"May 08, 2022",$13.77,$13.83,$13.09,$13.25,"$758,610,863","$13,089,449,127"
"May 07, 2022",$14.31,$14.35,$13.48,$13.78,"$593,983,001","$13,604,551,349"
"May 06, 2022",$14.58,$14.64,$13.94,$14.31,"$868,156,078","$14,135,323,180"
